First_Name,Last_Name,Grade,Location,Function,ba,ms
Mahesh,Joshi,GR1,DELHI,SALES,17990,16070
Rajesh,Kolte,GR1,DELHI,FINANCE,19250,14960
Neha,Rao,GR1,DELHI,FINANCE,19235,15200
Priya,Jain,GR1,DELHI,SALES,23280,13490
Sneha,Joshi,GR1,DELHI,FINANCE,20660,15660
Mahesh,Rane,GR1,DELHI,TECHNICAL,23160,14200
Ram,Kanade,GR1,DELHI,TECHNICAL,20160,15850
Nishi,Honrao,GR1,DELHI,TECHNICAL,20460,15880
Nishi,Kulkarni,GR1,NA,SALES,22620,16150
Hameed,Singh,GR1,DELHI,SALES,23720,15120
Raj,Mohite,GR1,DELHI,FINANCE,26080,16970
Yogita,Raje,GR1,DELHI,SALES,29080,8795
Anjali,Sonar,GR1,MUMBAI,NA,14410,10450
Bipin,Bhide,GR1,MUMBAI,FINANCE,15230,11010
Rahul,Potdar,GR1,MUMBAI,SALES,15125,NA
Ganesh,Sane,NA,MUMBAI,SALES,NA,12120
Mangesh,Oak,GR1,MUMBAI,SALES,15800,12420
Anand,Soman,GR1,NA,FINANCE,16540,12780
Malhar,Jadhav,GR1,MUMBAI,TECHNICAL,17240,13220
Suresh,VS,GR1,MUMBAI,TECHNICAL,18310,13220
Rajni,Gudi,GR1,MUMBAI,FINANCE,19360,13050
Jina,Arora,GR1,MUMBAI,SALES,17830,13090
Kavita,NA ,GR1,MUMBAI,SALES,19000,2700
Kavita,NS,GR1,MUMBAI,NA,17520,NA
Priya,Mittal,GR2,DELHI,TECHNICAL,15000,10680
Naresh,Sinha,GR2,DELHI,TECHNICAL,13810,11540
Jivesh,Shah,GR2,NA,FINANCE,16000,13730
Jigar,Shah,GR2,DELHI,FINANCE,16230,NA
Gaurav,Singh,GR2,DELHI,SALES,13760,13220
Amit,Mehta,GR2,DELHI,TECHNICAL,13660,6840
Ameet,Mishra,GR2,DELHI,FINANCE,14780,9300
Anup,Save,GR2,MUMBAI,SALES,11960,7880
Yogesh,Lonkar,GR2,MUMBAI,TECHNICAL,12390,6630
Sagar,Chavan,GR2,MUMBAI,FINANCE,13390,6700
Dev,Patil,GR2,MUMBAI,SALES,13500,10760
Ajit,Shinde,GR2,MUMBAI,TECHNICAL,NA,9580
Archa,Narvekar,GR2,MUMBAI,TECHNICAL,10940,11160
Shiva,Jathar,GR2,MUMBAI,FINANCE,12860,10940
Anu,Bhutala,GR2,MUMBAI,FINANCE,13650,10580
Nita,Punjabi,GR2,MUMBAI,SALES,14050,NA
Ketan,Kharkar,GR2,MUMBAI,SALES,13140,9800
